name,price,product_link,rating,details
,,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_62673a.png,,
,,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/buying-guide-illustration_4dd325.png,,
TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google Assistant,"₹11,490",https://rukminim2.flixcart.com/image/312/312/xif0q/television/9/6/g/-original-imagnrjvxdhqr84v.jpeg?q=70,4.1,"Operating System: Android
HD Ready 1366 x 768 Pixels
Launch Year: 2022
2 Years Warranty on Product"
Thomson FA Series 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with Dolby Digital Plus &...,"₹10,499",https://rukminim2.flixcart.com/image/312/312/xif0q/television/o/j/s/32rt1022-thomson-original-imagpu4vshz5gsgm.jpeg?q=70,4.3,"Operating System: Android
HD Ready 1366 x 768 Pixels
Launch Year: 2023
1 Year Warranty on Product and 6 Months Warranty on Accessories"
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹9,499",https://rukminim2.flixcart.com/image/312/312/kiyw9e80-0/television/p/0/w/32path0011-thomson-original-imafynyvsmeuwtzr.jpeg?q=70,4.3,"Operating System: Android
HD Ready 1366 x 768 Pixels
Launch Year: 2020
1 Year Warranty on Product & 6 Months on Accessories"
iFFALCON by TCL S53 101 cm (40 inch) Full HD LED Smart Android TV with Bezel-Less design & 24W Speaker,"₹15,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/g/u/x/-original-imagtr9smhkgcamw.jpeg?q=70,4.2,"Operating System: Android
Full HD 1920 x 1080 Pixels
Launch Year: 2023
1 Year Warranty"
SENS Pikaso 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹16,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/u/a/l/-original-imagwb8cusrhkqx8.jpeg?q=70,4.2,"Operating System: Android
Ultra HD (4K) 3840 x 2160 Pixels
Launch Year: 2022
1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel"
TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Metallic Bezel Less and Chromecast built-in,"₹11,490",https://rukminim2.flixcart.com/image/312/312/xif0q/television/n/s/t/-original-imahfa869zfdxsxp.jpeg?q=70,4.1,"Operating System: Android
HD Ready 1366 x 768 Pixels
Launch Year: 2024
1 Year Warranty"
KODAK 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with Android 11 and Dolby Digital Plu...,"₹10,499",https://rukminim2.flixcart.com/image/312/312/xif0q/television/c/9/i/-original-imagrdepwhsrpkrt.jpeg?q=70,4.4,"Operating System: Android
HD Ready 1366 x 768 Pixels
Launch Year: 2023
1 Year Warranty on Product and 6 Months Warranty on Accessories"
TOSHIBA 108 cm (43 inch) Full HD LED Smart Android TV 2023 Edition with DTS X,"₹20,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/s/j/a/-original-imagrwh7h9pj3a8g.jpeg?q=70,4.2,"Operating System: Android
Full HD 1920 x 1080 Pixels
Launch Year: 2023
2 Years Warranty on Product and Panel"
TOSHIBA 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with DTS X,"₹12,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/7/x/a/-original-imagrv6u9zxh8ufs.jpeg?q=70,4.2,"Operating System: Android
HD Ready 1366 x 768 Pixels
Launch Year: 2023
2 Years Comprehensive Warranty"
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹9,499",https://rukminim2.flixcart.com/image/312/312/xif0q/television/f/u/j/-original-imaghqqmthxvdazs.jpeg?q=70,4.4,"Operating System: Android
HD Ready 1366 x 768 Pixels
Launch Year: 2020
1 Year Warranty on Productand6 Months on Accessories"
Thomson OATHPRO Max 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 40W Speakers,"₹27,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/v/c/y/-original-imagpjy47k98egkq.jpeg?q=70,4.5,"Operating System: Android
Ultra HD (4K) 3840 x 2160 Pixels
Launch Year: 2021
1 Year Warranty on Product and 6 Months on Accessories"
"Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with 4K Dolby Vision | HDR10+ |,Dolby Atmos ...","₹26,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/3/h/8/-original-imagu436jn9rsuta.jpeg?q=70,4.3,"Operating System: Android
Ultra HD (4K) 3840 x 2160 Pixels
Launch Year: 2021
1 Year Warranty on Product and 2 Years Warranty on Panel OEM Warranty activation starts from the date of delivery"
SENS Pikaso 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹24,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/j/g/d/-original-imagwb8bbcg9gycg.jpeg?q=70,4.2,"Operating System: Android
Ultra HD (4K) 3840 x 2160 Pixels
Launch Year: 2022
1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel"
Blaupunkt CyberSound G2 Series 80 cm (32 inch) HD Ready LED Smart Android TV 2023 Edition with Dolby D...,"₹10,799",https://rukminim2.flixcart.com/image/312/312/xif0q/television/r/k/b/-original-imagt3wfdguzhszr.jpeg?q=70,4.4,"Operating System: Android
HD Ready 1366 x 768 Pixels
Launch Year: 2023
1 Year Warranty on Product and 6 Months Warranty on Accessories"
TCL 79.97 cm (32 inch) Full HD LED Smart Android TV with Metallic Bezel Less and Chromecast built-in,"₹13,949",https://rukminim2.flixcart.com/image/312/312/xif0q/television/z/n/y/-original-imahyg78sqgnskaf.jpeg?q=70,4.1,"Operating System: Android
Full HD 1920 x 1080 Pixels
Launch Year: 2024
1 Year Warranty"
Thomson FA Series 100 cm (40 inch) Full HD LED Smart Android TV 2023 Edition with Dolby Digital Plus &...,"₹15,499",https://rukminim2.flixcart.com/image/312/312/xif0q/television/o/j/s/32rt1022-thomson-original-imagpu4vshz5gsgm.jpeg?q=70,4.3,"Operating System: Android
Full HD 1080 x 1920 Pixels
Launch Year: 2023
1 Year Warranty on Product and 6 Months Warranty on Accessories"
"MOTOROLA Envision 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Bezel-Less Design, Google V...","₹29,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/f/p/j/-original-imagpa2xnmvnz3rg.jpeg?q=70,4.3,"Operating System: Android
Ultra HD (4K) 3840 x 2160 Pixels
Launch Year: 2023
1 Years Warranty"
Mi Q1 189.34 cm (75 inch) QLED Ultra HD (4K) Smart Android TV With Reality Flow | Local Dimming | Dolb...,"₹1,09,999",https://rukminim2.flixcart.com/image/312/312/xif0q/television/d/3/z/-original-imagu436cudumxet.jpeg?q=70,4.4,"Operating System: Android
Ultra HD (4K) 3840 x 2160 Pixels
Launch Year: 2021
1 Year Warranty on Product and 2 Years Warranty on Panel OEM Warranty activation starts from the date of delivery"
