name,brand,price,product_link,rating
Men Slim Fit Chinos Trousers,Allen Solly,Rs. 1999,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26264156/2024/1/22/73446ab3-31c7-4438-90d3-9f585a58c2cb1705919227087-Allen-Solly-Men-Slim-Fit-Chinos-Trousers-9401705919226647-1.jpg","<span>3.9</span><span class=""myntraweb-sprite product-starIcon index-productRatingsGoodIcon sprites-productRatingsGoodIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 405 -->81<!-- /react-text --></div>"
Textured Cotton Trousers,ColorPlus,Rs. 1469Rs. 2999(51% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29351564/2024/5/6/98cb0a2f-a6f3-428d-adf6-7df4d32d97421714978012648ColorPlusMenSlimFitChinosTrousers1.jpg",
Men Solid Chinos,Roadster,Rs. 639Rs. 1999(68% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2290967/2018/11/2/4eb79fc9-9d6e-454c-af9c-a1281fb2e6a61541141691841-Roadster-Men-Charcoal-Solid-Chinos-8401541141691655-1.jpg","<span>4.1</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 486 -->16.5k<!-- /react-text --></div>"
Men Black Chinos Trousers,Thomas Scott,Rs. 713Rs. 4199(83% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17104504/2022/2/10/94f69a4e-ef62-4fa3-a24b-a06c34db5d7e1644476300058ThomasScottMenBlackEasyWashChinosTrousers1.jpg","<span>4</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 530 -->1.8k<!-- /react-text --></div>"
Men Tapered Fit Trousers,Parx,Rs. 1154Rs. 2099(45% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29353696/2024/5/7/58300c32-ec84-4423-8477-8dc582cc24ce1715024368607ParxMenTaperedFitChinosTrousers1.jpg",
Men Tapered Fit Trousers,Dennis Lingo,Rs. 599Rs. 2649(Rs. 2050 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17462004/2022/6/6/bd23aeb4-acce-4751-8bb3-1d966f8ccf591654525732456DennisLingoMenBlackTaperedFitCottonChinosTrousers1.jpg","<span>3.8</span><span class=""myntraweb-sprite product-starIcon index-productRatingsGoodIcon sprites-productRatingsGoodIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 613 -->4k<!-- /react-text --></div>"
Men Regular Fit Chinos,Roadster,Rs. 639Rs. 1999(68% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9299201/2019/4/26/5984280d-2cd1-4423-94a0-647697e7f2701556268592957-Roadster-Men-Trousers-6981556268591489-1.jpg","<span>4</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 657 -->20.1k<!-- /react-text --></div>"
Men Slim Fit Chinos Trouser,ColorPlus,Rs. 1469Rs. 2999(51% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29351452/2024/5/6/340142f5-703d-48d1-9c9c-81831f606b1b1714984228158ColorPlusMenSlimFitChinosTrousers1.jpg",
Men Trim Fit Chinos,U.S. Polo Assn.,Rs. 1169Rs. 2599(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25833644/2024/1/25/1afde8eb-ed5e-4c49-ab72-f126801efbea1706169220899-US-Polo-Assn-Men-Trousers-7351706169220425-1.jpg","<span>4</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 741 -->35<!-- /react-text --></div>"
Men Regular Fit Chinos,Roadster,Rs. 665Rs. 1799(63% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2167357/2017/11/30/11512040684675-Roadster-Men-Khaki-Regular-Fit-Solid-Chinos-1161512040684450-1.jpg","<span>4.1</span><span class=""myntraweb-sprite product-starIcon index-productRatingsExcellentIcon sprites-productRatingsExcellentIcon""></span><div class=""product-ratingsCount""><div class=""product-separator"">|</div><!-- react-text: 785 -->16.5k<!-- /react-text --></div>"
